Gene Symbol	Monocytes C	NK	T CD8 Memory	T CD4 Naive	T CD8 Naive	B Naive	T CD4 Memory	MAIT	T gd Vd2	Neutrophils LD	T gd non-Vd2	Basophils LD	Monocytes NC+I	B Memory	mDCs	pDCs	Plasmablasts
RP11-1319K7.1	43.60108708	2.102387717	1.864250284	2.088857716	1.83093782	3.311519861	2.279541925	1.291752698	1.637244631	4.377255342	2.287319414	1.032010546	5.975615247	3.139936182	67.19058185	2.816145005	5.541421477
MCEMP1	140.42102	0	0.007404756	0	0	3.522646404	0	0	0	44.00022708	0	1.235139748	6.039752544	5.116982821	39.99882905	0	5.234533483
RP11-597D13.9	61.48484381	0.094578689	0.048920509	0.117022368	0.089978969	1.741279536	0.104810782	0.034322392	0.045046869	0.119720891	0.041492043	0.067436435	23.09153688	1.258751469	55.19735766	0.785876754	1.3168601
LPAR1	27.96689661	0.460784926	0	0	0	1.343423994	0	0	0	1.439648569	0	0.051429246	4.980654932	0.849174201	16.13068989	0.969270478	0.982423784
LGALS12	34.94866745	0.112797192	0.057053428	0	0.045691809	1.054522873	0.071724596	0.022881663	0	1.726694758	0.05694345	3.076590426	1.91912306	1.263270542	24.16785265	0	1.115819279
FAM198B	171.8813333	0.2169794	0	0	0	4.489831563	0.001868338	0	0	0.303339061	0	0.009541573	71.87010358	3.737872165	90.50883758	2.394968113	4.042378338
AC011380.8	41.48754733	0.525378416	0.586862397	0.494417505	0.587515017	1.839108317	1.295574961	0.024284805	0	8.929732079	0.739634402	0.640304465	4.774271809	1.452019465	5.204080983	1.012423433	2.781471541
RP11-497H16.7	172.5515222	4.804077101	1.906943073	2.425702361	2.878864095	7.732132577	4.44465474	2.149690272	2.70694021	32.95453537	2.63716167	3.501339809	30.12076875	8.080354894	386.32963	7.228175613	26.00677352
RP11-848G14.5	70.84739759	2.006084125	0.971222275	1.423023572	1.413065903	2.800226895	1.182634155	0.769477092	0.973216353	12.32643093	1.088297824	0.938283002	11.14126322	2.523868592	119.5588628	2.442469954	4.513958074
SLC46A2	170.5884366	0.077442701	0	0	0	3.029913832	0.007330587	0	0.03510351	0.171771887	0	0.037674644	93.68970589	2.288263394	143.8258249	0.167076575	2.381667208
FOLR2	56.85071175	0	0	0	0	2.045950478	0	0	0	0.104157799	0	0.116811237	16.89940139	1.883951856	51.0201702	0.430547933	4.902603354
RP11-848G14.2	108.7552664	1.393476519	0.8221645	0.624026816	1.928216057	4.538799445	2.23887801	1.000970086	0.412576753	18.66725723	1.209616304	1.444550161	15.95611873	3.484579614	216.3326692	4.216970189	6.533068858
VCAN	2325.998754	1.332123134	0.037163778	0.340318322	0.204879795	59.81230197	0.310335213	0.004251016	0.244372812	0.880727272	0.141230925	5.47863242	188.6564006	32.91738046	1770.66777	0.148260184	65.06057538
RNASE4	85.40356649	0.086782929	0.824169773	0.084381346	0.421672919	1.52421521	1.64723764	0.620551385	0.584625665	0.13946875	0.263670873	0.420928621	4.070894752	6.924708656	85.59878814	10.82913716	47.05363952
LRP1	130.35491	0.67643512	0.709921379	1.755017538	1.028713595	4.006691117	1.512823991	1.223463288	1.752600535	0.602660895	1.025522054	1.681597666	98.37493191	4.459494369	204.6622214	2.689017863	5.196462523
HOMER3	25.34169604	0.349648078	0.197218486	0.291208929	0.321289021	0.676765857	0.690854541	0.201600644	0.79480708	1.785768201	0.182208384	0.235255522	5.904842238	4.789257303	12.12688114	0.324660556	28.3206028
RPH3A	51.15188334	1.025201432	1.212174742	0.753016203	0.743891428	4.819898209	1.403875184	0.599256941	0.865574892	3.717073678	0.438448298	0.81486544	37.155472	2.785969657	13.40333372	2.35161401	3.252045947
CCDC149	18.62191165	0.136210565	0.116111672	0.193908712	0.100540843	0.684009424	0.155971445	0.092402385	0.183476777	0.797090496	0.098188353	0.069826964	6.173344508	0.325859576	13.93660944	1.525667639	0.498674805
ARHGEF10L	97.76963991	0	0	0	0	2.625490464	0.008873357	0	0	0.011999498	0	0.040547067	58.07194931	2.320398343	167.3340855	0.021050845	7.909672664
RP11-356N1.2	40.16570932	0.234664118	0.205098627	0.307945265	0.19703582	6.824533907	0.242590619	0.207392422	0.365057716	1.110216877	0.101087726	0.302945602	2.954009073	3.650678865	38.29193359	0.275065527	4.121313062
TBC1D2	99.76760476	5.312353223	4.464060813	4.644487103	2.383484169	4.214208194	8.798297173	2.394795081	4.541305258	8.969986197	5.288210593	5.331703984	60.83814448	5.742404032	58.24262111	4.112239156	7.911814384
FBN2	13.99139311	0	0	0	0	0.152423821	0.003071648	0	0	0.222194439	0	0	7.077982463	0.39342291	8.347236105	0.221737997	0.08016713
CD93	209.9517476	4.17458531	0.396992545	0.075752759	0.078702854	7.030660285	0.838872947	0.304501801	0.064150084	51.10400635	1.987782642	0.116744327	66.99088588	4.270039001	237.9505913	4.721972432	4.018183337
MGST1	133.7485643	1.762667969	0.794087823	1.911092316	1.417111109	5.7388868	1.682074759	1.234854914	1.194302052	0.849678726	1.166242923	9.058075533	13.97727915	4.40559446	190.6634109	24.0765204	14.04051426
RP11-67L14.1	20.58149626	0	0.030376055	0.078037215	0.041742843	0.395716115	0.063509317	0.010070546	0.071583131	0.773954888	0.031441311	0	3.29913634	0.369946772	21.65704634	0.019992051	0.063289427
SLC2A9	101.1421117	2.207238308	1.378829801	2.677382049	2.753231337	4.483084842	2.404393255	3.068212208	1.784650705	2.765213133	1.068001867	4.068444304	14.03790497	3.075006709	292.0857734	65.11889198	4.811967184
SIGLEC15	10.46414631	1.133048753	0.629550623	0.988455551	0.882485713	1.017338056	1.294739492	0.624447745	1.006785846	1.014791669	0.686109225	0.918938191	2.168719499	1.376694844	10.41714915	1.649926651	2.468951977
MYO7A	13.41203974	0.333593148	0.224632885	0.510446275	0.372880204	0.565698837	0.758073549	0.145390172	0.361200759	0.396469413	0.27716479	0.180203784	3.367186985	0.373040838	1.515737851	0	1.19703377
CTD-3014M21.1	100.3692823	4.644916645	3.008412168	2.830576665	1.471925588	6.290384337	3.115435645	5.023573604	7.026264679	0.316742652	5.67836416	3.374689522	22.65657956	4.58990194	54.07593884	10.09507311	38.36443707
FCGR1CP	26.1263804	0	0	0	0	1.709552854	0	0	0	9.458933521	0	0	4.699250898	0.411505089	13.84241212	0	0
CPM	91.58363118	5.679106284	2.22883765	6.459276682	2.720957265	16.38317563	7.800741015	2.383351378	3.673934839	4.096800728	2.866474963	3.535812251	33.53008807	6.504881691	181.6157444	7.49540839	13.51778902
OSCAR	209.6058383	1.435638507	0.716463541	0.380915804	0.17518974	6.277682431	0.521137085	0.526382267	1.139404899	34.7223674	1.219724093	0.217848071	120.3515131	4.914791253	290.961117	2.283178346	5.904625626
CH17-373J23.1	429.5274203	3.837810148	3.735330834	5.393566707	4.571691354	14.83359618	5.925465408	17.04781603	16.43244222	1.640579655	9.403222751	4.17945534	86.30508025	7.875160988	302.62488	28.63175192	154.4566835
NAIP	271.6104933	16.06813464	10.44270435	11.25333265	12.43474939	20.55709952	15.83753033	7.045680348	17.17015841	67.30411515	13.75339392	14.5452484	40.08724496	21.54803925	511.8751191	21.87331466	37.10424988
SGMS2	30.65516188	0.282990709	0.182263403	0	0.311054422	0.847786171	0.173391283	0	0	0.304742893	0.154047973	0.130348938	8.072372722	0.945361071	59.56674941	0.205706008	0.950473828
CD14	2719.759124	0.781577329	0.174004728	0.945028801	0.51167664	64.81521333	1.161958495	0.455697339	0.505972299	208.4358281	0.404086173	0.66741537	223.445779	53.26059345	851.2733621	0.666777772	81.90204166
ANO5	3.286081335	0	0	0	0	0.141141461	0	0	0	0	0	0.075235543	0.430896886	0.104260595	7.536459097	0.02374827	0.277235623
F13A1	317.4524684	0.776636108	0.001419331	0	0	18.40273455	0.036815155	0	0.310722491	2.740101981	0.17192845	1.302958644	19.69141392	9.088779097	829.3241902	54.59957016	10.65514736
TCN2	68.35189324	0.175807142	0.455789056	0.153355821	0	0.591273902	1.003891434	0.1396219	0	0.126758787	0	0	59.6661241	3.233842264	48.94895104	7.926775567	5.582355258
TMEM176A	47.96915485	0.331458954	0.1856169	0.421037315	0.062723923	2.812229277	0.272191944	0.150875127	0.306005523	0.916184788	0.168998076	0.563461188	26.55760262	1.150950712	7.44326469	0.655733222	0.379044263
RP11-903H12.5	34.55991792	0	0.590161239	0	0	0.965168328	0.914213074	0	0	0	0	0	0.689072964	4.204234296	51.00144357	4.460892722	14.60350949
EREG	315.8859471	1.407031435	0.861336574	1.323808626	0.919563201	9.056659146	1.365370206	0.676433616	1.097741556	1.659453257	0.687427142	7.355149016	62.06017985	5.249261001	607.6704923	1.175382373	13.4750266
LINC00968	18.82083151	0	0	0	0	0.284681794	0	0	0	0.855143153	0	0	10.08105676	0.457499928	11.76520949	0.224071028	0
RP11-162P23.2	68.78202172	0	0	0	0	1.632592976	0.023178547	0	0.146605309	0.006872467	0	0.212115034	17.37506379	0.211706572	139.3354103	30.83538391	0
RIN2	103.2449889	0.16816852	0.104785716	0.136831966	0.096481663	2.55328602	0.141864572	0.072956323	0.194381696	0.555589278	0.118738761	0.131284053	80.61966058	2.957284617	136.0122779	3.420686246	1.42817153
TMEM176B	201.0403756	0.102282178	0.035671761	0.132659978	0.067653323	6.156901302	0.106638447	0.036120345	0.054959851	1.002373031	0	0.380694818	147.1593901	4.324035751	37.39166376	0.088555342	6.503773552
CD36	1392.171886	2.123555917	0.283361534	0.34569811	0.317991924	33.51370199	0.501803228	0.285174644	0.266780813	1.543548694	0.202491881	0.414433148	172.1897274	26.1496447	1391.483401	595.7418277	49.1609655
SHROOM1	13.68254338	0.077024079	0.091454132	0.098917167	0.083616884	0.17682275	0.159948885	0.052171795	0.177870164	0.19650937	0.108593202	0.470567009	3.299732154	0.609251353	3.193902925	0.02434903	4.244506949
SMARCD3	51.85318578	2.118501327	2.82698459	5.154783718	6.248597784	1.988925491	4.57814874	4.623219168	2.137866915	4.634270052	1.119739664	2.059764213	13.01127754	2.359313691	54.80314852	6.952036903	8.794750935
ATP2B1-AS1	166.6183664	1.987876376	1.518540987	1.452933773	0.941307904	7.876142592	3.115748786	2.098976252	2.383659797	15.9083064	1.252538555	6.682172935	115.4604242	6.317741924	152.4931224	0.70535025	10.85315977
SIGLEC1	55.75316449	0.469166836	0.00019098	0	0	0.949780708	0	0	0	0.65618052	0	0	9.360045503	0.724264053	108.3529396	7.314710986	0.367658526
TMTC2	25.88134915	0.291558472	0.628059972	1.543276575	0.418746937	1.396180125	1.712097604	2.071080724	1.171158571	0.650651045	0.37156827	0.710791552	11.10527075	1.56639075	34.15426739	0.366675191	8.60208404
AP003774.6	19.62285327	1.359020122	0.853058112	1.39286156	0.999326459	2.770927023	1.261661279	0.919641528	1.364786351	1.628577475	1.001665269	1.749901554	4.068184323	1.557911016	53.53903047	2.492537415	2.658954911
ZMAT4	0	31.40550616	0.042763124	0.152051301	0.276560018	0.45255461	0.155407276	0	0.635656457	0	0.675111607	0.204048102	1.172980675	0.084050257	1.89572121	0.212255442	1.167635179
RNF165	0.601333815	7.227704076	0.255159709	0.191610986	0.217394421	0.165131537	0.421705477	0.693006855	0.360385558	0.29626999	0.507620117	0.314497318	0.736384816	0.21205454	1.057249995	2.69958542	0.537924213
COL13A1	0	7.575042917	0	0	0	0	0	0	0.634797974	1.027623967	0	0	0	0	0	0	0
LINGO2	0	8.892586267	0.089144027	0	0	0	0	0	0.342175094	0	1.473326455	0	0.423887098	0	0	0	0
LGALS9B	1.102854104	62.76215109	1.966644022	0	0	1.093047873	1.026416292	0.281223451	1.536677823	1.002031074	5.605355842	1.212258254	2.801305387	1.111600232	6.656235107	1.465278808	2.275144446
KIR2DP1	0	18.89806515	0.990859107	0	0	0	0.019127304	0	2.051304938	0.035297363	4.308983976	0	0.173176867	0.2687873	0	0	0
KIR2DL1	0	68.54474837	5.177601062	0.257168592	0	0.846670206	0.173891851	0	6.591504148	0.419475137	17.16234405	0	2.148435058	0.35041944	0	0	0
KIR2DL4	0.990960762	37.66346875	2.461806107	0.093850218	0.054813325	0.451248739	0	0	1.374140521	0.751986135	6.245440999	0	6.835322802	0.07858235	0	0	0
LDB2	0	14.75444668	0.080488014	0	0	0	0	0	0.180669321	0	1.992985417	0	0	0	0	0	0
SH2D1B	0.766829086	461.6635874	4.098998142	0	0.022599247	3.940806139	0.015351747	0.045860103	0.02632766	0.616086406	22.27013793	0.112190462	138.5743377	3.39001491	3.458910883	0	6.117364834
LGALS9C	0.998407062	73.87424119	0.786951471	0	0	0.391305537	1.092625235	0.015706186	1.436658661	13.36584646	2.282180286	2.170812956	4.304893657	0.451085265	1.483575117	0.082242378	0
BNC2	0.230424853	17.39051491	2.98006981	0.219778957	0.114863245	0.315509792	0.206046243	0.155782665	0.068572848	0.110681884	3.643973402	0.245205571	0.635723918	0.180279838	0.628120595	0.288807262	0.247974521
ERBB2	4.024208531	71.10021157	13.26345972	3.240945192	2.747659844	5.459367262	4.223387215	1.674642791	4.880755091	1.790346969	14.77697266	1.412792712	4.569658204	4.819683915	9.100854081	3.672331854	8.500604868
FAT4	0	2.214066749	0	0	0	0	0	0	0	0	0.07593349	0	0.007828241	0.008138114	0	0	0
NCAM1	0.42168059	119.9669423	15.81479925	0.437310868	0.113694098	0.286962989	2.371683069	7.052402421	5.300027614	0.270506804	27.02316015	0.017089062	4.57676237	0.61842651	7.437362071	2.750572273	0.745888792
ADAMTS1	1.499553133	27.36225946	2.965376906	1.244148496	0.159652317	1.501771918	1.132909201	0.603245106	4.085822343	0.199812299	5.753948925	0.167043849	1.588784034	0.634887001	4.674938214	0.309040214	0.717721766
NCR1	1.024280866	123.9575559	24.68852808	0.038342912	0.041154316	2.179704114	0.588068013	0.270576583	3.301079704	1.882279699	60.14988865	0.167649392	3.877734031	0.867082752	0.17855758	0.083844003	4.465511379
SPTSSB	0	47.76302935	0.059024286	0	0	0.727559213	1.202227471	9.224804888	16.66981646	0	0	0	0.278489383	0	0	0	0
GNAL	1.905588153	13.53869714	3.252486826	0.965185134	0.91398247	1.238636267	1.383807353	0.627870793	2.144786894	1.645715066	4.242334085	0.612632053	2.199305311	1.437734727	6.020020846	1.05364662	1.996688313
KIR2DL3	0	156.1901268	47.79715017	0.338951719	0.038051186	0.672701228	0.510320846	0.052466133	14.67946361	0.142838603	61.60625797	0	3.362884575	1.55164507	0	0	0
KIR2DS4	0	119.0813975	23.79184355	0.277074645	0	1.36363647	0.362696057	0.050832712	13.06637891	0.282121187	69.76938381	0	2.752805888	0.651735576	0	0	0.164480196
ARVCF	0.912443002	17.33405472	0.620502421	0.08332499	0.544377209	0.739051537	0.438372582	0	0.021358844	0	2.986226395	0	1.520648425	0.364910971	2.907712978	0	0.051797553
LINC00298	0.119340354	10.067961	0.565208812	0.161199401	0.091191397	0	0.310239256	1.166107773	2.12509753	0.072031502	1.074503848	1.210699433	0.840252714	0.074015819	3.853364435	0.067330886	0.502924572
KIR3DL1	0.061913907	200.8761847	29.92703566	0.484015243	0	0.950660801	1.011061529	0.087555469	47.66874942	0.187517847	127.4985298	0	4.947392864	0.90095159	0.159978171	0.046678249	0
NMUR1	0.736116198	65.50089112	19.05156168	0.729189558	0.19856436	1.168744081	2.524594277	5.261106702	12.34630518	0.438641867	26.98006527	0.373334607	2.731040709	0.514598685	1.800974368	0.356933418	1.258114093
RP11-20I20.4	0.487593936	191.8178895	31.72995246	0.59382635	0.246919523	3.018356404	5.095241091	3.167104035	19.08121324	0.223867874	18.6357322	0	4.698045355	1.572538111	0	10.98241308	2.093826374
KIR3DX1	1.997749364	18.32400071	5.719097252	1.293854004	1.137184967	1.594466714	2.552319512	1.003055441	1.076252493	1.101660797	13.09409884	1.403649171	2.669416119	1.669750714	4.776421028	1.834169903	2.865389041
KIR3DL2	0.104505969	127.595216	22.9730347	1.647139218	0.020861948	0.542846613	2.509121151	0.335396879	25.85560859	0.223191235	80.96578545	0	3.126974907	1.116746015	0	0	6.98732931
LRRC43	0.161620728	7.119921909	0.567726467	0.103358875	0.114680939	0.56620063	0.304937714	0	0.119355839	0.231860461	2.120595228	0.003186164	0.546774202	0.159924177	3.874916089	0.964152362	0
KLRF1	2.842417899	578.8043689	79.03227303	3.007334124	0.259547539	6.999324919	15.60298582	21.95971485	27.20687922	0.963046928	330.5276572	0.399568493	14.7870351	6.147134494	18.63584493	7.222387653	7.219963735
CTB-61M7.1	0	3.024276711	0.105192897	0	0	0	0	0	0.455570353	0.379910018	0.84233336	0	0.089688935	0	0	0	0
RP11-121A8.1	5.028581569	28.27404562	3.18912146	0	0	0.185930597	0.9884058	2.105695123	21.34960454	0.625024344	7.504944875	0.041577153	1.268806672	0.293966125	14.27825861	0.940522172	0
ZNF876P	1.259319307	9.734522236	1.476472891	0.786958256	0.459698481	1.151043304	1.406857179	0.802178231	2.165763854	0.182656745	4.105620689	0.866065044	1.017734619	1.882036331	4.543968386	1.057205336	3.495389113
PRSS23	1.442061287	211.4416774	118.3397585	3.099604675	0.926001527	2.358411266	14.7739733	1.311410248	28.01901882	1.07408166	113.7393965	1.190431212	6.775730245	2.150620458	3.114002092	1.624896549	4.807677475
KLRC3	0	60.28385709	46.29885573	0.410421523	1.646672987	0.736847751	0.365837936	0.468340593	9.353027558	0	73.28898133	0	1.623862299	0.147018716	0	0	0
CARMIL3	0.101903494	3.574694073	0.586706894	0	0	0.099519047	0.085004737	0.042916354	0.478119407	0.008596178	0.535551869	0	0.057597553	0.556052714	0.187172606	0	0
CD160	1.653836522	212.2971567	57.11948056	2.044599605	0.595889771	2.741842532	3.009012743	15.10106414	84.65806204	0.202414951	98.76710508	1.253701363	5.701751937	2.313783116	2.469033092	0.7916777	5.816485092
KLRC2	0.122255507	237.3731222	123.2540758	0.706116536	2.632901767	1.71793784	0.817664296	4.198517062	88.12118382	0.027003488	145.5118065	0	4.81644679	0.962648799	0	0	2.184159622
EIF4A2P1	0	9.878973377	1.221672624	1.033980472	0.1939622	0	0.525897518	0.316786332	1.667976654	0	0.474246148	0	0.063784854	0.052635447	0.321711252	0.873491127	0
TRDJ1	0	4469.930188	0	10.08500076	0	38.67737249	10.08856266	0	2294.924049	0	974.4108187	0	70.3364023	26.85345089	0	0	29.54063115
RP11-605P22.1	3.585294219	10.83807516	1.809565641	0	0	0	0.553252108	0	0	2.592681055	1.724721688	0.125127583	0.070417475	0.42724377	0.386078528	0	0
RP11-705C15.5	0	91.38521854	16.30987012	0	0	0.855876101	0.826589927	0	1.730239377	0	48.44809161	0	2.201416146	20.34502276	29.913947	0	44.68583547
DGKK	0	3.28505432	0.377738753	0	0	0	0	0	0	0	1.313176437	0	0.020843134	0	0	0	0
HMGB3P32	0	23.36993115	5.189783103	0	0	0	0.634361522	1.984700539	7.119146076	0	5.588920098	0	0.444938994	0.557504638	0	0.218751614	0
FASLG	0.427570234	84.57402462	23.38474245	0.686570384	0.464473881	1.502125398	5.430648978	13.75045165	33.75967213	0.353714018	34.58604783	0.30734073	2.407875433	0.992095394	2.903621474	1.01467675	0.281721607
PDGFRB	0.700381258	32.5501015	12.70588959	0	0.078693789	1.430279352	0.365409023	0.09700004	0.623624053	0.100492807	13.34643146	0	11.43638093	0.700864001	0	0	0
LINC00299	2.526720991	44.51924628	4.804000637	0.842005645	0.60937903	3.727912193	8.335586722	13.59108312	20.09963118	1.680944477	4.709123607	5.108483573	7.855051644	1.06963141	18.666319	0.855342995	5.06832472
SORBS2	0.159503354	17.11521873	0.17819766	0.441856971	0.680832723	0.869986183	0.528781567	0.107530471	0.483575713	0.063595024	0.282929733	0.420196754	0.193907993	0.217486689	0.326139973	0.192925152	32.59341829
CYP4F29P	0	7.76012409	0.701959017	0.552099699	1.543052622	0.540603801	0.460975147	0.229072699	1.346812936	0	0	0	0.31378629	0.24789981	0	0.63155842	0
CTD-2616J11.2	0.44064242	16.4662036	4.621112551	0.099244988	0	0.468472108	0.299175079	0.321179265	5.070621668	1.464492037	3.919783974	0	4.283940958	0.568208898	1.451895563	0.651461742	2.858342471
SLCO4C1	5.697709508	34.73070478	13.27802897	0.942569836	0.802762906	1.144422641	2.278451288	1.360157754	5.442795849	15.04934529	22.58313774	9.259599317	1.85251914	1.380225281	2.33704579	2.94133951	4.054198744
GALNT18	0	1.748943243	0.075616471	0.023019303	0	0	0	0	0	0	0.18819761	0	0.040890245	0	0	0	0.204415878
TTC38	30.44948683	378.627724	147.1431869	13.62651352	9.154000218	11.24218315	26.16578308	22.71799836	74.98627992	10.629724	222.0623835	26.70270503	40.48924384	16.17960841	101.9094475	24.05600495	149.1888357
GOLGA8N	3.196028832	17.05693996	3.644894187	2.150931659	2.966622862	1.747802749	1.872224485	1.897472906	4.579690637	0.584801163	4.539046893	2.876168434	3.913839022	1.754767006	34.23754975	4.50402688	5.324604158
SLFN13	6.328998078	118.1357686	31.38214462	9.353612667	7.337036151	9.849339088	17.86069364	15.91658969	24.51049487	1.780426414	55.94761988	19.08541376	8.855822675	14.82573933	40.71902307	5.743943357	160.3667047
SPON2	2.719911046	716.6651695	154.951896	9.422516165	8.850106409	9.998011479	37.836949	21.78951561	128.2143514	0.887090135	109.4855783	5.245220065	20.62212382	8.114772681	12.95993668	51.62332709	25.7014913
PDGFD	0	48.74242252	23.56150544	0.358695349	0	0.417432295	3.450315858	3.131337238	28.90959824	0.010512448	41.99410999	0.685681378	1.72076887	0.931094139	1.827488666	0	14.46399195
VIT	0	4.94288316	1.402506273	0	0	0	0.166284356	0	1.134452607	0	2.506469742	0	0.086657207	0	0	0	0
PODN	0.25922024	7.399955465	2.960283212	0.159132164	0.096868029	0.149013718	0.945155389	0.211960958	2.138788713	0.087905087	4.632876742	0.073322026	0.38905442	0.198119294	0.920726974	0.307312825	0.354755416
GFOD1	5.843553341	25.27492032	3.822606316	1.182664856	0.295622535	8.402515303	1.059248573	1.202248873	2.211879373	0.33663935	8.146604114	0.460057105	14.98428682	7.720333298	10.09370593	0.830487833	8.0159389
LINC01505	0.119639414	5.589921051	1.582717799	0.093900099	0.068418274	0.580182971	0.140578787	0.066280444	0.227263862	0.026914822	0.921732201	0.134118049	0.063099725	0.065081338	0.51180062	0.736630036	2.50647692
B3GNT7	0.320951324	16.30655924	3.204488162	0.231413085	0.164593164	4.090439747	0.241293937	0.486699455	1.154659533	0.232173801	4.20575707	0.120409512	1.079556574	7.617246505	21.02028003	3.456810223	4.872436594
TSPOAP1	6.863430986	163.8601526	44.98231835	3.507103423	5.072584599	1.789412768	15.14728427	34.20578789	58.73076147	1.667041008	70.30035926	1.864438487	7.218181201	5.273741134	76.25511408	5.323673084	8.214254415
FKBP10	0	3.852653345	0.193937359	0	0.094207316	0	0.047101038	0.187106896	0.856835034	0	0.892300701	0.220614398	0.071562384	0	0	0	0
FEZ1	2.263919877	39.09903756	19.17570362	0.799814109	0.671013422	1.185296561	2.780606164	30.55770866	50.01463773	0.355328745	29.73308879	3.882386781	2.21726926	1.188102989	4.421498151	0.747247256	1.05581424
